Exam ID,Exam Title,Question #,QuestionId,Type,Answer in JSON,Status,Detail
"02","Đề ôn luyện số 02","55","55","sequence","3-1-2-4","WARN","Non-MCQ: type=sequence, cannot auto-grade with MCQ system"
"02","Đề ôn luyện số 02","56","56","sequence","2-4-1","WARN","Non-MCQ: type=sequence"
"02","Đề ôn luyện số 02","57","57","sequence","2-1-3","WARN","Non-MCQ: type=sequence"
"02","Đề ôn luyện số 02","58","58","text","Thực tiễn là tiêu chuẩn...","WARN","Non-MCQ: type=text, correct is full sentence"
"02","Đề ôn luyện số 02","59","59","text","Sự phát triển của xã hội...","WARN","Non-MCQ: type=text"
"02","Đề ôn luyện số 02","60","60","text","(1) Tôn trọng tính khách quan...","WARN","Non-MCQ: type=text"
"03","Đề ôn luyện số 03","55","55","sequence","3-4-2-1","WARN","Non-MCQ: type=sequence"
"03","Đề ôn luyện số 03","56","56","sequence","1-4-3-2","WARN","Non-MCQ: type=sequence"
"03","Đề ôn luyện số 03","57","57","sequence","3-2-1-2","WARN","Non-MCQ: type=sequence"
"03","Đề ôn luyện số 03","58","58","text","Thực tiễn là động lực...","WARN","Non-MCQ: type=text"
"03","Đề ôn luyện số 03","59","59","text","Yếu tố con người...","WARN","Non-MCQ: type=text"
"03","Đề ôn luyện số 03","60","60","text","Quan điểm toàn diện...","WARN","Non-MCQ: type=text"
"META","examMeta.json","N/A","01","N/A","N/A","FAIL","Đề 01 khai báo trong meta nhưng KHÔNG có trong questions.json"
"DATA","questions.json","N/A","15","N/A","N/A","WARN","Đề 15 có đầy đủ data nhưng KHÔNG khai báo trong examMeta.json - không hiển thị trên giao diện"

